image,cls_idx,robo_label,syllable,english,confidence,x_center,y_center,width,height
buh_a_t2_d13eed19_jpg.rf.WsvJPYnWDciAaKESNRbQ.jpg,6278,901,buh_a_t2,no translation yet,0.9510,0.4999,0.5003,0.9979,0.9992
buh_a_t4_8b4daeb6_jpg.rf.Y3A2Vor3ohrRVspY67zx.jpg,6280,903,buh_a_t4,no translation yet,0.9815,0.5002,0.5002,0.9981,0.9993
buh_ah_t3_6200db19_jpg.rf.OhWScpbk2u7oKgmJ5l07.jpg,6285,908,buh_ah_t3,no translation yet,0.9305,0.5045,0.4524,0.5940,0.3913
buh_ah_t4_4c34e556_jpg.rf.E3g21pNajt6EaLDFHo29.jpg,6286,909,buh_ah_t4,no translation yet,0.9784,0.5001,0.4997,0.9979,0.9990
buh_aw_t3_a69a0feb_jpg.rf.rHt8D0nKDP3YBtqnUU6W.jpg,6309,932,buh_aw_t3,no translation yet,0.8571,0.4995,0.4995,0.9976,0.9989
buh_aw_t6_383096f4_jpg.rf.r6KKtVfKhsmxtlQxRN4Q.jpg,6312,935,buh_aw_t6,no translation yet,0.9311,0.5001,0.5003,0.9981,0.9990
buh_aw_t6_a601265d_jpg.rf.s85ucaKJ4MgWPIzjlyIx.jpg,6312,935,buh_aw_t6,no translation yet,0.9342,0.5004,0.5003,0.9981,0.9993
buh_ay_t2_72c8006d_jpg.rf.oq8GmY8PeLJnEVBAiY4o.jpg,6302,925,buh_ay_t2,no translation yet,0.7813,0.5013,0.5866,0.4792,0.3364
buh_ay_t4_c566d529_jpg.rf.l5uBlFAronKt1Drka1NM.jpg,6304,927,buh_ay_t4,no translation yet,0.9869,0.5003,0.5000,0.9986,0.9994
buh_ay_t5_9d0f0833_jpg.rf.WgKLnfWKdTy38JFUjGx1.jpg,6305,928,buh_ay_t5,no translation yet,0.9840,0.5000,0.4991,0.9981,0.9976
buh_eh_t5_ba7c3771_jpg.rf.HCFag2htIAQuWuVfy6TF.jpg,6323,946,buh_eh_t5,no translation yet,0.9154,0.5002,0.4998,0.9981,0.9987
buh_eh_t6_878fdef7_jpg.rf.V1RH3WLw9NOYdrrgtTOg.jpg,6324,947,buh_eh_t6,no translation yet,0.8563,0.4994,0.4998,0.9979,0.9975
buh_er_t3_6d0dfa7c_jpg.rf.N1gViFlah3GqhMUZnCRV.jpg,6297,920,buh_er_t3,no translation yet,0.9659,0.5002,0.4999,0.9986,0.9990
buh_medgha_a_t3_a1d72098_jpg.rf.h9AU0mXQHRkEr9O1XlFV.jpg,6333,956,buh_u_t3,no translation yet,0.6508,0.5045,0.6122,0.5185,0.3877
buh_medgha_ah_t2_370a13ec_jpg.rf.Oxlfx8Cf76X0TO07FuOc.jpg,3953,6187,buh_medgha_ah_t2,no translation yet,0.9396,0.5000,0.5000,0.9984,1.0000
buh_medgha_ah_t2_a1fc35a0_jpg.rf.O3YTlaww9I0XqbeBEmXp.jpg,3953,6187,buh_medgha_ah_t2,no translation yet,0.7020,0.5014,0.5311,0.5541,0.5505
buh_medgha_aw_t4_361c0467_jpg.rf.fUjIyLmv0nYdvCpqUSZh.jpg,3979,6213,buh_medgha_aw_t4,no translation yet,0.4886,0.4985,0.5312,0.5788,0.5495
buh_medgha_aw_t6_74140540_jpg.rf.J2ksdyoOumchkFzFvUWD.jpg,3981,6215,buh_medgha_aw_t6,no translation yet,0.5123,0.4992,0.5313,0.5247,0.5499
buh_medgha_ay_t2_9172882e_jpg.rf.ac5Q35Z7vsRXdfMAwl4x.jpg,3971,6205,buh_medgha_ay_t2,no translation yet,0.9201,0.5003,0.4996,0.9981,0.9979
buh_medgha_ay_t4_06cbc156_jpg.rf.OzMZILAsORfDmbvjzio6.jpg,3973,6207,buh_medgha_ay_t4,no translation yet,0.9894,0.5002,0.4997,0.9989,0.9987
buh_medgha_ay_t5_4af2b704_jpg.rf.FASlWPR6kKc89EJp1T1H.jpg,3974,6208,buh_medgha_ay_t5,no translation yet,0.9251,0.5000,0.4999,0.9984,0.9993
