epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,173.496,0.91247,6.48778,1.35287,4e-05,0.00618,0.00023,0.00022,0.95502,6.02881,1.09324,0.00998403,0.00332801,0.00998403,0.00332801,0.00998403,0.00332801,0.00998403,0.00332801
2,328.99,0.528,5.73281,1.08475,0.00012,0.01777,0.00016,0.00016,0.30665,5.18154,0.35942,0.0197862,0.00659539,0.0197862,0.00659539,0.0197862,0.00659539,0.0197862,0.00659539
3,464.958,0.5536,5.62471,1.07632,1e-05,0.00772,0.00033,0.00032,1.13099,6.21257,1.02361,0.0293903,0.00979678,0.0293903,0.00979678,0.0293903,0.00979678,0.0293903,0.00979678
4,600.765,0.52686,5.63326,1.04512,4e-05,0.01133,0.00053,0.00052,3.02821,5.69897,6.85727,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,736.613,0.44583,5.5131,1.00469,0.00019,0.03965,0.00085,0.00085,0.26046,5.23929,0.35401,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,872.572,0.40079,5.38052,0.98684,0.00035,0.05433,0.00193,0.00186,0.3107,5.11111,0.37171,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1009.38,0.36633,5.26338,0.97085,0.00042,0.08162,0.0032,0.00318,0.24912,4.99885,0.30979,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1148.37,0.33596,5.15746,0.95661,0.00074,0.07286,0.00299,0.00297,0.1947,4.91744,0.29342,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1292.81,0.31775,5.0665,0.95223,0.00103,0.10299,0.00474,0.00473,0.17061,4.78952,0.2614,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1433.4,0.29047,4.9724,0.93927,0.00169,0.16675,0.01016,0.01014,0.20492,4.66961,0.28836,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
