epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,261.494,0.40528,2.17461,1.03294,0.7869,0.8278,0.92189,0.89216,0.28878,0.61384,0.35353,0.00998959,0.00332986,0.00998959,0.00332986,0.00998959,0.00332986,0.00998959,0.00332986
2,495.055,0.20513,1.96824,0.91602,0.35686,0.39844,0.38466,0.27683,1.57626,3.27364,2.32019,0.0195938,0.00653127,0.0195938,0.00653127,0.0195938,0.00653127,0.0195938,0.00653127
3,698.373,0.19642,2.02418,0.90948,0.65287,0.86567,0.95646,0.95526,0.09599,0.94774,0.20444,0.028802,0.00960067,0.028802,0.00960067,0.028802,0.00960067,0.028802,0.00960067
4,901.137,0.21632,2.18397,0.91503,0.28198,0.91358,0.78771,0.54051,1.18967,2.38037,1.08017,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1104.02,0.20596,2.18101,0.91227,0.58822,0.83147,0.92942,0.75058,0.81414,1.44194,0.72998,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1307.82,0.19528,2.13144,0.90959,0.63548,0.86721,0.96526,0.96427,0.11721,0.96279,0.2225,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1511.6,0.18827,2.09318,0.90801,0.61126,0.78631,0.92137,0.76313,0.8423,1.31247,0.74227,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1714.5,0.18107,2.07982,0.90536,0.6004,0.87351,0.95044,0.88315,0.44613,1.03566,0.45745,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1917.81,0.17744,2.04362,0.90614,0.6696,0.88212,0.9605,0.95934,0.10845,0.78463,0.21965,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2121.12,0.17035,2.0089,0.9031,0.69335,0.86317,0.96063,0.95325,0.18722,0.79706,0.27032,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2324.39,0.1704,2.01883,0.90403,0.69857,0.87294,0.95856,0.95724,0.10275,0.70527,0.21941,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2527.38,0.16227,1.99705,0.90265,0.73603,0.87192,0.9646,0.96344,0.10949,0.66147,0.21979,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2728.49,0.15977,1.96986,0.9022,0.73989,0.88404,0.96282,0.96243,0.08387,0.59366,0.20343,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2931.82,0.15538,1.95129,0.90006,0.78213,0.86492,0.96259,0.96206,0.07495,0.55073,0.19652,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3135.29,0.1513,1.94688,0.8989,0.78115,0.88199,0.9636,0.96313,inf,0.51872,0.19628,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3338.2,0.14762,1.9299,0.89924,0.80191,0.87672,0.96366,0.96343,0.08353,0.51387,0.2008,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3540.67,0.14384,1.91552,0.8975,0.79752,0.88663,0.96304,0.96253,0.07409,0.47555,0.19427,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3744.46,0.14034,1.88923,0.89755,0.81438,0.89272,0.96423,0.96415,0.07033,0.45108,0.19734,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3948.44,0.13744,1.88734,0.89673,0.85651,0.88745,0.9631,0.96261,0.07249,0.43017,0.19618,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4150.93,0.13684,1.87005,0.89809,0.85037,0.90207,0.96143,0.96088,0.0724,0.43876,0.19547,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4353.32,0.13263,1.8619,0.89603,0.85365,0.91127,0.96316,0.96275,0.0635,0.39452,0.18818,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4555.79,0.13087,1.85091,0.89715,0.87837,0.90653,0.96533,0.96454,0.05708,0.36437,0.18403,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4759.29,0.1276,1.85719,0.89559,0.87576,0.92429,0.96289,0.96266,0.06653,0.37449,0.1876,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4962.41,0.12606,1.84389,0.89376,0.87881,0.92548,0.96256,0.96161,0.06324,0.37408,0.18775,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5165.32,0.1217,1.82898,0.89358,0.88381,0.91574,0.96392,0.96306,0.07287,0.3823,0.19478,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5367.38,0.12237,1.81184,0.8998,0.88864,0.92438,0.96381,0.96359,0.08253,0.38257,0.20112,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5569.81,0.11824,1.79633,0.893,0.89077,0.92812,0.96333,0.96297,0.0793,0.37633,0.20014,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5773.57,0.11336,1.78073,0.89143,0.89473,0.92823,0.96254,0.96224,0.06575,0.3519,0.19119,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,5975.85,0.11209,1.78038,0.89187,0.8973,0.929,0.96232,0.96196,0.06083,0.33655,0.18744,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6178.5,0.11092,1.76854,0.8927,0.90351,0.93134,0.96358,0.96284,inf,0.32616,0.18607,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6381.18,0.10715,1.75217,0.89033,0.90931,0.93098,0.96369,0.96297,inf,0.32499,0.18594,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
